Name,Specialty,Symptoms,Usual onset,Duration,Causes,Risk factors,Diagnostic method,Prevention,Treatment,Prognosis,Frequency,Medication,ImageURL
Cellulitis,"Infectious disease, dermatology","Red, hot, painful area of skin, fever",,7â€“10 days,Bacteria,"Break in the skin, obesity, leg swelling, old age",Based on symptoms,,Elevation of the affected area,,21.2 million (2015),Antibiotics such as cephalexin,https://upload.wikimedia.org/wikipedia/commons/d/d4/Cellulitis1.jpg
Central nervous system vascular malformations,,,,,,,,,,,,,
Cerebral aneurysm,"Interventional neuroradiology, neurosurgery, neurology","None, severe headache, visual problems, nausea and vomiting, confusion",30â€“60 years old,,"Hypertension, infection, head trauma","Smoking, old age, family history, cocaine use","Angiography, CT scan",,"Endovascular coiling, surgical clipping, cerebral bypass surgery, pipeline embolization",,,,https://upload.wikimedia.org/wikipedia/commons/f/fa/AneurysmClips.jpg
Cervical cancer,Oncology,"Early: noneLater: vaginal bleeding, pelvic pain, pain during sexual intercourse",Over 10 to 20 years,,Human papillomavirus infection (HPV),"Smoking, weak immune system, birth control pills, starting sex at a young age, many sexual partners or a partner with many sexual partners",Cervical screening followed by a biopsy,"Regular cervical screening, HPV vaccines, sexual intercourse with condoms, sexual abstinence","Surgery, chemotherapy, radiation therapy, immunotherapy",Five-year survival rate:68% (US)46% (India),"604,127 new cases (2020)",,https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
Cervicitis,Urology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Chiari malformation,Neurosurgery,,,,,,,,Decompressive surgery,,1 in 100 (type I),,https://upload.wikimedia.org/wikipedia/commons/5/50/Foramen_magnum_-_inferior_view_-_animation.gif
Child maltreatment,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b4/Central_Asia_political.png
Childhood apraxia of speech,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/1/1b/Semi-protection-shackle.svg
Childhood asthma,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2e/Ambox_contradict.svg
Chlamydia trachomatis,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4a/Chlamydae_Life_Cycle.svg
Cholangiocarcinoma ( bile duct cancer ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c1/CT_cholangioca.jpg
Cholera,Infectious disease,"Large amounts of watery diarrhea, vomiting, muscle cramps",2 hours to 5 days after exposure,A few days,Vibrio cholerae spread by fecal-oral route,"Poor sanitation, not enough clean drinking water, poverty",Stool test,"Improved sanitation, clean water, hand washing, cholera vaccines","Oral rehydration therapy, zinc supplementation, intravenous fluids, antibiotics",,3â€“5Â million people a year,,https://upload.wikimedia.org/wikipedia/commons/d/dc/A_SOIL_EkoLakay_toilet_customer._%2815921409131%29.jpg
Chondrosarcoma,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4f/Chondrosarcoma_%281%29.jpg
Chordoma,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2b/Chordoma.JPG
Choroid plexus carcinoma,Neuro-oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/81/Choroidplexuscarcinoma.png
Chronic fatigue syndrome,"Neurology, rheumatology, Infectious disease, physical medicine and rehabilitation, psychiatry, behavioral medicine:â€Š223","Worsening of symptoms with activity, long-term fatigue, others",40 to 60 years old,Often for years,Unknown,"Being genetically female, virus and bacterial infections, Having blood relatives with the illness, major injury, bodily response to severe stress and others:â€Š1â€“2",Based on symptoms,,Symptomatic,,About 0.68 to 1% globally,,https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg
Chronic granulomatous disease,Immunology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2f/Aspergillus_fumigatus_01.jpg
Chronic traumatic encephalopathy,"Neurology, psychiatry, sports medicine","Behavioral problems, mood problems, problems with thinking",Years after initial injuries,,Repeated head injuries,"Contact sports, military, domestic abuse, repeated banging of the head",Autopsy,,Supportive care,,Uncertain,,https://upload.wikimedia.org/wikipedia/commons/0/0c/Chronic_Traumatic_Encephalopathy.png
Cirrhosis,"Gastroenterology, Hepatology","Tiredness, itchiness, swelling in the lower legs, jaundice, easily bruising, fluid build-up in the abdomen",Over months or years,Long term,"Alcoholic liver disease, hepatitis B, hepatitis C, non-alcoholic steatohepatitis",,"Blood tests, medical imaging, liver biopsy","Vaccination (such as hepatitis B), avoiding alcohol",Depends on underlying cause,,2.8 million (2015),,https://upload.wikimedia.org/wikipedia/commons/5/57/CT_abdomen_-_liver_cirrhosis_-_01.JPG
Claudication,"Neurology, rheumatology, vascular surgery",,,,,,,,adrenoceptors alpha 1/alpha 2,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Cleft lip and cleft palate,"Otorhinolaryngology, pediatrics",Opening in the upper lip that may extend into the nose or palate,Present at birth,,Usually unknown,"Smoking during pregnancy, diabetes, obesity, older mother, certain medications",,,"Surgery, speech therapy, dental care",Good (with treatment),1.5 per 1000 births (developed world),,https://upload.wikimedia.org/wikipedia/commons/3/3a/10-month-old_girl_showing_scar_from_facial_reconstruction_surgery_for_cleft_lip.jpg
Clubfoot,"Orthopedics, podiatry",Foot that is rotated inwards and downwards,During early pregnancy,,Unknown,"Genetics, mother who smokes cigarettes, males Ethnicity","Physical examination, ultrasound during pregnancy",,"Ponseti method (manipulation, casting, cutting the Achilles tendon, braces), French method, surgery",Good with proper treatment,"1 to 4 in 1,000",,
Coarctation of the aorta,Cardiac surgery,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Blausen_0243_CoarctationofAorta_CloseUp.png
Cold urticaria,Dermatology,,,,Exposure to cold stimulus,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/33/Cold_allergy_symptoms.jpg
Colic,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
Colorectal cancer,Gastroenterology General surgery Oncology,"vomiting blood, Blood in the stool, change in bowel movements, weight loss, fatigue.",,,"Old age, lifestyle factors, genetic disorders","Diet, obesity, smoking, lack of physical activity, alcohol use",Tissue biopsy during a sigmoidoscopy or colonoscopy,Screening from age of 50 to 75,"Surgery, radiation therapy, chemotherapy, targeted therapy",Five-year survival rate 65% (US),9.4 million (2015),,https://upload.wikimedia.org/wikipedia/commons/1/12/Blausen_0246_ColorectalCancer.png
Common cold,Infectious disease,"Cough, sore throat, runny nose, fever",~2 days from exposure,1â€“3 weeks,Viral (usually Rhinovirus),,Based on symptoms,"Hand washing, face masks, cough etiquette, avoiding sick people","Symptomatic therapy, zinc",,2â€“3 per year (adults); 6â€“8 per year (children),NSAIDs,
Common cold in babies,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f9/Double-dagger-14-plain.png
Common variable immunodeficiency,Immunology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2d/Issoria_lathonia.jpg
"Compartment syndrome , chronic exertional",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/df/Acute_Compartment_Syndrome_with_blister_formation.JPG
Concussion,"Emergency medicine, neurology","Headache, trouble with thinking, memory or concentration, nausea, blurry vision, sleep disturbances, mood changes",,Up to 4 weeks,"Motor vehicle collisions, falls, sports injuries, bicycle accidents","Drinking alcohol, playing contact sports such as American football, previous history of concussion",Based on symptoms,"Head protection equipment, like hard hats, gridiron football, motorcycle, or bicycle helmets ",Physical and cognitive rest for a day or two with a gradual return to activities,,"6 per 1,000 people a year","Paracetamol (acetaminophen), NSAIDs",https://upload.wikimedia.org/wikipedia/commons/f/fb/Confused_child.jpg
Congenital adrenal hyperplasia,Endocrinology,"Excessive urination of sodium, virilism, early, delayed, or absent puberty, hyperandrogenism",Before birth,Lifetime,Variants in genes responsible the enzymes required for the synthesis of cortisol in the adrenal cortex,,,,,,,,https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg
Congenital heart defects in children,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3e/Congenital_heart_anomalies_world_map-Deaths_per_million_persons-WHO2012.svg
Congenital mitral valve anomalies,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e5/Diagram_of_the_human_heart_%28cropped%29.svg
Congenital myasthenic syndromes,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Congenital myopathies,Neurology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Wiki_letter_w_cropped.svg
Conjoined twins,Medical genetics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9f/Agneaux_siamois_de_Berdoulat_MHNT_ART_98.jpg
Constipation,Gastroenterology,"Infrequent or hard to pass bowel movements, abdominal pain, bloating",,,"Slow movement of stool within the colon, irritable bowel syndrome, celiac disease, non-celiac gluten sensitivity, pelvic floor disorders","Hypothyroidism, diabetes, Parkinson's disease, gluten-related disorders, colon cancer, ovarian cancer, diverticulitis, inflammatory bowel disease, certain medications",,,"Drinking enough fluids, eating more fiber, exercise",,2â€“30%,"Laxatives of the bulk forming agent, osmotic agent, stool softener, or lubricant type",https://upload.wikimedia.org/wikipedia/commons/8/86/Aristotle%27s_constitutions_diagram.png
Constipation in children,Pediatrics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/41/Leech_scoring_areas.jpg
COPD,Pulmonology,"Shortness of breath, chronic cough",Over 35 years old,Long term,"Tobacco smoking, air pollution, genetics",,Spirometry,"Stopping smoking, improving indoor and outdoor air quality, tobacco control measures","Pulmonary rehabilitation, long-term oxygen therapy, lung volume reduction",,174.5Â million (2015),Inhaled bronchodilators and steroids,
Corns and calluses,Dermatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/79/Callus_patient_17th_century.jpg
Coronary artery disease,"Cardiology, cardiac surgery","Chest pain, shortness of breath",,,Atherosclerosis of the arteries of the heart,"High blood pressure, smoking, diabetes, lack of exercise, obesity, high blood cholesterol","Electrocardiogram, cardiac stress test, coronary computed tomographic angiography, coronary angiogram","Healthy diet, regular exercise, maintaining a healthy weight, not smoking","Percutaneous coronary intervention (PCI), coronary artery bypass surgery (CABG)",,110 million (2015),"Aspirin, beta blockers, nitroglycerin, statins",https://upload.wikimedia.org/wikipedia/commons/d/d1/Blausen_0257_CoronaryArtery_Plaque.png
Corticobasal degeneration,Neurology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
Costosternal syndrome,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/1114_Thorax.jpg
"Cough , chronic",,,,,,,,,,,,,
Cradle cap,Dermatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/50/Baby_With_Cradle_Cap.jpg
Craniopharyngioma,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9e/Adamantinomatous_craniopharyngioma_-_intermed_mag.jpg
Crohn 's disease,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e0/A_single_EN.JPG
Croup,Pediatrics,"""Barky"" cough, stridor, fever, stuffy nose",,Usually 1â€“2 days but can last up to 7 days,Mostly viral,,Based on symptoms,Influenza and diphtheria vaccination,,,15% of children at some point,"Steroids, epinephrine",https://upload.wikimedia.org/wikipedia/commons/e/ef/1932_Ford_Three_Window_Coupe_hot_rod_%285409924810%29.jpg
CRPS,"Neurology, Psychiatry, Anesthesiology",,,,,,,,"Physical therapy (more effective with early diagnosis); medications (e.g. anti-seizure for nerve pain, opioids, muscle relaxers etc.); Sympathetic Nerve Blocks; ketamine infusions; lidocaine infusions; implanted opioid pump; in rare cases amputation",,,"Anti-seizure medications for nerve pain (e.g. Gabapentin); muscle relaxers (e.g. Baclofen), opioids (may be administered orally, via patch, or implanted intrathecal pump); ketamine or lidocaine infusions",https://upload.wikimedia.org/wikipedia/commons/9/9e/CRPS_002ms5.jpg
Cryoglobulinemia,Hematology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fc/Cryoglobulinemia2.jpg
Cryptosporidium infection,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/73/Cryptosporidiosis_01.png
Cutaneous B-cell lymphoma,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d5/Cutaneous_T-cell_lymphoma_-_very_high_mag.jpg
Cutaneous T-cell lymphoma,Hematology and oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d5/Cutaneous_T-cell_lymphoma_-_very_high_mag.jpg
Cyclic vomiting syndrome,Gastroenterology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/9/99/Question_book-new.svg
Cyclospora infection,,,,,,,,,,,,,
Cyclothymic disorder,"Psychiatry, clinical psychology",Periods of depression and elevated mood,,,Unknown,Family history,,,"Psychotherapy, medications",,0.4-1% at some point in life,,
"Cyst , Bartholin 's",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/49/Barthonlincyst2011.png
Cystitis,"Infectious disease, Urology","Pain with urination, frequent urination, feeling the need to urinate despite having an empty bladder",,,Most often Escherichia coli,"Female anatomy, sexual intercourse, diabetes, obesity, family history","Based on symptoms, urine culture",,Antibiotics (nitrofurantoin or trimethoprim/sulfamethoxazole),,152Â million (2015),,https://upload.wikimedia.org/wikipedia/commons/9/9b/Bacteriuria_pyuria_4.jpg
Cytomegalovirus infection,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/91/CMVschema.svg
Dandruff,Dermatology,Itchy and flaking skin of the scalp,Puberty,,Genetic and environmental factors,,Based on symptoms,,,,~50% of adults,"Antifungal cream (ketoconazole), salicylic acid",https://upload.wikimedia.org/wikipedia/commons/f/f5/Dandruff01.jpg
Delayed ejaculation,Urology,,,,,,,,,,,,
Delirium,"Psychiatry, Geriatrics, Intensive care medicine, Neurology","agitation, confusion, drowsiness, hallucinations, delusions, memory problems","Any age, but more often in people 65 or more years of age","days to weeks, sometimes months",Not well understood,"Infection, chronic health problems, certain medications, neurological problems, sleep deprivation, surgery",,,"Medication, treating underlying cause",,,"Haloperidol, Risperidone, Olanzapine, Quetiapine",https://upload.wikimedia.org/wikipedia/commons/5/5f/An_alcoholic_man_with_delirium_Wellcome_L0060780_%28level_correction%29.jpg
Dementia,"Neurology, psychiatry","Decreased ability to think and remember, emotional problems, problems with language, decreased motivation",Gradual,Long term,"Alzheimer's disease, vascular disease, Lewy body disease and frontotemporal lobar degeneration.",,Cognitive testing (Mini-Mental State Examination),"Early education, prevent high blood pressure, prevent obesity, no smoking, social engagement",Supportive care,,50 million (2020),Acetylcholinesterase inhibitors (small benefit),https://upload.wikimedia.org/wikipedia/commons/b/bf/A_man_diagnosed_as_suffering_from_acute_dementia._Lithograph_Wellcome_L0026694.jpg
"Dementia , Alzheimer 's disease",,,,,,,,,,,,,
Dengue hemorrhagic fever,Infectious disease,"Fever, headache, muscle and joint pain, rash",3â€“14 days after exposure,2â€“7 days,Dengue virus by Aedes mosquitos,,Detecting antibodies to the virus or its RNA,"Dengue fever vaccine, decreasing mosquito exposure","Supportive care, intravenous fluids, blood transfusions",,390 million per year,,https://upload.wikimedia.org/wikipedia/commons/3/3e/Aedes_aegypti_feeding.jpg
Depersonalization-derealization disorder,"Psychiatry, clinical psychology","Depersonalization, Derealization",Young adulthood,"chronic, episodic",,,,,Psychotherapy,,1â€“2% (general population),,https://upload.wikimedia.org/wikipedia/commons/3/39/Prefrontal_cortex_%28left%29_animation.gif
